county,year,CAUSE,sex,ageG,Ndeaths,YLL,pop,US2000POP
California,2010,A05,Male,65 - 74,3,70.46,1063816.78529905,18136
California,2010,A05,Male,75 - 84,5,78.91,585371.370720331,12315
California,2010,A05,Male,85 - 999,1,10.7,214525.76075746102,4259
California,2010,A05,Female,0 - 4,4,359.97,1234770.34390375,18987
California,2010,A05,Female,15 - 24,2,147.11,2691899.6871438,38077
California,2010,A05,Female,25 - 34,0,0,2609688.17359586,37233
California,2010,A05,Female,35 - 44,2,99.46000000000001,2574146.16573943,44659
California,2010,A05,Female,45 - 54,2,80.81,2641975.91322442,37030
California,2010,A05,Female,5 - 14,2,158.06,2486596.85248475,39977
California,2010,A05,Female,55 - 64,1,31.69,2107996.9861708498,23961
California,2010,A05,Female,65 - 74,4,87.24000000000001,1231824.0064262499,18136
California,2010,A05,Female,75 - 84,0,0,788773.6327572591,12315
California,2010,A05,Female,85 - 999,3,28.22,395777.0037747704,4259
California,2010,A05,Total,0 - 4,8,723.87,2525999.99210628,18987
California,2010,A05,Total,15 - 24,2,147.11,5596840.4688891005,38077
California,2010,A05,Total,25 - 34,1,63.11,5338068.65750252,37233
California,2010,A05,Total,35 - 44,3,147.71,5177189.83346018,44659
California,2010,A05,Total,45 - 54,5,206.92000000000002,5251633.09380686,37030
California,2010,A05,Total,5 - 14,3,244.07999999999998,5086518.2222786,39977
California,2010,A05,Total,55 - 64,5,165.20999999999998,4077244.17225021,23961
California,2010,A05,Total,65 - 74,7,157.7,2295640.7917253,18136
California,2010,A05,Total,75 - 84,5,78.91,1374145.00347759,12315
California,2010,A05,Total,85 - 999,4,38.92,610302.7645322314,4259
California,2010,A06,Male,0 - 4,0,0,1291229.64820253,18987
California,2010,A06,Male,15 - 24,1,68.08,2904940.7817453,38077
California,2010,A06,Male,25 - 34,5,308.58,2728380.48390666,37233
California,2010,A06,Male,35 - 44,41,2078.97,2603043.66772075,44659
California,2010,A06,Male,45 - 54,213,8923.04,2609657.18058244,37030
California,2010,A06,Male,5 - 14,0,0,2599921.36979385,39977
California,2010,A06,Male,55 - 64,398,13423.44,1969247.18607936,23961
California,2010,A06,Male,65 - 74,104,2531.16,1063816.78529905,18136
California,2010,A06,Male,75 - 84,50,744.28,585371.370720331,12315
California,2010,A06,Male,85 - 999,16,142.4,214525.76075746102,4259
California,2010,A06,Female,0 - 4,0,0,1234770.34390375,18987
California,2010,A06,Female,15 - 24,1,68.08,2691899.6871438,38077
California,2010,A06,Female,25 - 34,3,183.36,2609688.17359586,37233
California,2010,A06,Female,35 - 44,21,1073.51,2574146.16573943,44659
California,2010,A06,Female,45 - 54,98,4101.01,2641975.91322442,37030
California,2010,A06,Female,5 - 14,0,0,2486596.85248475,39977
California,2010,A06,Female,55 - 64,177,5940.65,2107996.9861708498,23961
California,2010,A06,Female,65 - 74,90,2133.0299999999997,1231824.0064262499,18136
California,2010,A06,Female,75 - 84,65,979.75,788773.6327572591,12315
California,2010,A06,Female,85 - 999,19,184.44,395777.0037747704,4259
California,2010,A06,Total,0 - 4,0,0,2525999.99210628,18987
California,2010,A06,Total,15 - 24,2,136.16,5596840.4688891005,38077
California,2010,A06,Total,25 - 34,8,491.94,5338068.65750252,37233
California,2010,A06,Total,35 - 44,62,3152.48,5177189.83346018,44659
California,2010,A06,Total,45 - 54,311,13024.05,5251633.09380686,37030
California,2010,A06,Total,5 - 14,0,0,5086518.2222786,39977
California,2010,A06,Total,55 - 64,575,19364.09,4077244.17225021,23961
California,2010,A06,Total,65 - 74,194,4664.19,2295640.7917253,18136
California,2010,A06,Total,75 - 84,115,1724.03,1374145.00347759,12315
California,2010,A06,Total,85 - 999,35,326.84,610302.7645322314,4259
California,2010,A06a,Male,0 - 4,0,0,1291229.64820253,18987
California,2010,A06a,Male,15 - 24,0,0,2904940.7817453,38077
California,2010,A06a,Male,25 - 34,2,131.18,2728380.48390666,37233
California,2010,A06a,Male,35 - 44,6,310.24,2603043.66772075,44659
California,2010,A06a,Male,45 - 54,13,547.8,2609657.18058244,37030
California,2010,A06a,Male,5 - 14,0,0,2599921.36979385,39977
California,2010,A06a,Male,55 - 64,26,878.99,1969247.18607936,23961
California,2010,A06a,Male,65 - 74,10,231.75,1063816.78529905,18136
California,2010,A06a,Male,75 - 84,10,142.89000000000001,585371.370720331,12315
California,2010,A06a,Male,85 - 999,2,16.36,214525.76075746102,4259
California,2010,A06a,Female,0 - 4,0,0,1234770.34390375,18987
California,2010,A06a,Female,15 - 24,0,0,2691899.6871438,38077
California,2010,A06a,Female,25 - 34,1,58.14,2609688.17359586,37233
California,2010,A06a,Female,35 - 44,2,112.32,2574146.16573943,44659
California,2010,A06a,Female,45 - 54,3,126.10000000000001,2641975.91322442,37030
California,2010,A06a,Female,5 - 14,0,0,2486596.85248475,39977
California,2010,A06a,Female,55 - 64,5,161.4,2107996.9861708498,23961
California,2010,A06a,Female,65 - 74,14,327.13,1231824.0064262499,18136
California,2010,A06a,Female,75 - 84,9,136.72,788773.6327572591,12315
California,2010,A06a,Female,85 - 999,6,56.41,395777.0037747704,4259
California,2010,A06a,Total,0 - 4,0,0,2525999.99210628,18987
California,2010,A06a,Total,15 - 24,0,0,5596840.4688891005,38077
